Old Name,New Name,Old Path,New Path
TNaming_RefShape.lxx,TNaming_RefShape_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_RefShape.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_RefShape_1.hpp
TNaming_SameShapeIterator.lxx,TNaming_SameShapeIterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_SameShapeIterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_SameShapeIterator_1.hpp
TNaming_ShapesSet.lxx,TNaming_ShapesSet_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_ShapesSet.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_ShapesSet_1.hpp
TNaming_UsedShapes.lxx,TNaming_UsedShapes_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_UsedShapes.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCAF\TNaming\TNaming_UsedShapes_1.hpp
PCDM_Reader.lxx,PCDM_Reader_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCDF\PCDM\PCDM_Reader.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKCDF\PCDM\PCDM_Reader_1.hpp
TDF_Attribute.lxx,TDF_Attribute_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Attribute.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Attribute_1.hpp
TDF_ChildIDIterator.lxx,TDF_ChildIDIterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_ChildIDIterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_ChildIDIterator_1.hpp
TDF_ChildIterator.lxx,TDF_ChildIterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_ChildIterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_ChildIterator_1.hpp
TDF_ClosureMode.lxx,TDF_ClosureMode_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_ClosureMode.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_ClosureMode_1.hpp
TDF_CopyLabel.lxx,TDF_CopyLabel_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_CopyLabel.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_CopyLabel_1.hpp
TDF_Data.lxx,TDF_Data_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Data.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Data_1.hpp
TDF_DataSet.lxx,TDF_DataSet_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_DataSet.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_DataSet_1.hpp
TDF_Delta.lxx,TDF_Delta_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Delta.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Delta_1.hpp
TDF_IDFilter.lxx,TDF_IDFilter_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_IDFilter.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_IDFilter_1.hpp
TDF_Label.lxx,TDF_Label_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Label.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Label_1.hpp
TDF_Transaction.lxx,TDF_Transaction_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Transaction.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDF\TDF_Transaction_1.hpp
TDataStd_TreeNode.lxx,TDataStd_TreeNode_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDataStd\TDataStd_TreeNode.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDataStd\TDataStd_TreeNode_1.hpp
TDocStd_ApplicationDelta.lxx,TDocStd_ApplicationDelta_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_ApplicationDelta.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_ApplicationDelta_1.hpp
TDocStd_Document.lxx,TDocStd_Document_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_Document.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_Document_1.hpp
TDocStd_MultiTransactionManager.lxx,TDocStd_MultiTransactionManager_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_MultiTransactionManager.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_MultiTransactionManager_1.hpp
TDocStd_XLink.lxx,TDocStd_XLink_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_XLink.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_XLink_1.hpp
TDocStd_XLinkIterator.lxx,TDocStd_XLinkIterator_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_XLinkIterator.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_XLinkIterator_1.hpp
TDocStd_XLinkRoot.lxx,TDocStd_XLinkRoot_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_XLinkRoot.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TDocStd\TDocStd_XLinkRoot_1.hpp
TFunction_Driver.lxx,TFunction_Driver_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TFunction\TFunction_Driver.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TFunction\TFunction_Driver_1.hpp
TFunction_Logbook.lxx,TFunction_Logbook_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TFunction\TFunction_Logbook.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKLCAF\TFunction\TFunction_Logbook_1.hpp
TObj_TObj_msg.pxx,TObj_TObj_msg.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKTObj\TObj\TObj_TObj_msg.pxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKTObj\TObj\TObj_TObj_msg.hpp
XmlObjMgt_Array1.lxx,XmlObjMgt_Array1_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKXmlL\XmlObjMgt\XmlObjMgt_Array1.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKXmlL\XmlObjMgt\XmlObjMgt_Array1_1.hpp
XmlObjMgt_Persistent.lxx,XmlObjMgt_Persistent_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKXmlL\XmlObjMgt\XmlObjMgt_Persistent.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKXmlL\XmlObjMgt\XmlObjMgt_Persistent_1.hpp
XmlMNaming_NamedShapeDriver.lxx,XmlMNaming_NamedShapeDriver_1.hpp,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKXml\XmlMNaming\XmlMNaming_NamedShapeDriver.lxx,D:\reOCCT8_0_0rc3\src\ApplicationFramework\TKXml\XmlMNaming\XmlMNaming_NamedShapeDriver_1.hpp
IGESControl_Reader.lxx,IGESControl_Reader_1.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESControl\IGESControl_Reader.lxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESControl\IGESControl_Reader_1.hpp
IGESData_ParamCursor.lxx,IGESData_ParamCursor_1.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESData\IGESData_ParamCursor.lxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESData\IGESData_ParamCursor_1.hpp
IGESToBRep_AlgoContainer.lxx,IGESToBRep_AlgoContainer_1.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESToBRep\IGESToBRep_AlgoContainer.lxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESToBRep\IGESToBRep_AlgoContainer_1.hpp
IGESToBRep_CurveAndSurface.lxx,IGESToBRep_CurveAndSurface_1.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESToBRep\IGESToBRep_CurveAndSurface.lxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESToBRep\IGESToBRep_CurveAndSurface_1.hpp
IGESToBRep_IGESBoundary.lxx,IGESToBRep_IGESBoundary_1.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESToBRep\IGESToBRep_IGESBoundary.lxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDEIGES\IGESToBRep\IGESToBRep_IGESBoundary_1.hpp
StepTidy_BaseTestFixture.pxx,StepTidy_BaseTestFixture.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GTests\StepTidy_BaseTestFixture.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GTests\StepTidy_BaseTestFixture.hpp
GeomToStep_MakeAxis1Placement_gen.pxx,GeomToStep_MakeAxis1Placement_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeAxis1Placement_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeAxis1Placement_gen.hpp
GeomToStep_MakeBSplineCurveWithKnotsAndRationalBSplineCurve_gen.pxx,GeomToStep_MakeBSplineCurveWithKnotsAndRationalBSplineCurve_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeBSplineCurveWithKnotsAndRationalBSplineCurve_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeBSplineCurveWithKnotsAndRationalBSplineCurve_gen.hpp
GeomToStep_MakeBSplineCurveWithKnots_gen.pxx,GeomToStep_MakeBSplineCurveWithKnots_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeBSplineCurveWithKnots_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeBSplineCurveWithKnots_gen.hpp
GeomToStep_MakeCircle_gen.pxx,GeomToStep_MakeCircle_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeCircle_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeCircle_gen.hpp
GeomToStep_MakeEllipse_gen.pxx,GeomToStep_MakeEllipse_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeEllipse_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeEllipse_gen.hpp
GeomToStep_MakeLine_gen.pxx,GeomToStep_MakeLine_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeLine_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeLine_gen.hpp
GeomToStep_MakePolyline_gen.pxx,GeomToStep_MakePolyline_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakePolyline_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakePolyline_gen.hpp
GeomToStep_MakeVector_gen.pxx,GeomToStep_MakeVector_gen.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeVector_gen.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\GeomToStep\GeomToStep_MakeVector_gen.hpp
RWStepAP203_RWCcDesignApproval.pxx,RWStepAP203_RWCcDesignApproval.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignApproval.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignApproval.hpp
RWStepAP203_RWCcDesignCertification.pxx,RWStepAP203_RWCcDesignCertification.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignCertification.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignCertification.hpp
RWStepAP203_RWCcDesignContract.pxx,RWStepAP203_RWCcDesignContract.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignContract.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignContract.hpp
RWStepAP203_RWCcDesignDateAndTimeAssignment.pxx,RWStepAP203_RWCcDesignDateAndTimeAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignDateAndTimeAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignDateAndTimeAssignment.hpp
RWStepAP203_RWCcDesignPersonAndOrganizationAssignment.pxx,RWStepAP203_RWCcDesignPersonAndOrganizationAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignPersonAndOrganizationAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignPersonAndOrganizationAssignment.hpp
RWStepAP203_RWCcDesignSecurityClassification.pxx,RWStepAP203_RWCcDesignSecurityClassification.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignSecurityClassification.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignSecurityClassification.hpp
RWStepAP203_RWCcDesignSpecificationReference.pxx,RWStepAP203_RWCcDesignSpecificationReference.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignSpecificationReference.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWCcDesignSpecificationReference.hpp
RWStepAP203_RWChange.pxx,RWStepAP203_RWChange.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWChange.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWChange.hpp
RWStepAP203_RWChangeRequest.pxx,RWStepAP203_RWChangeRequest.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWChangeRequest.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWChangeRequest.hpp
RWStepAP203_RWStartRequest.pxx,RWStepAP203_RWStartRequest.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWStartRequest.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWStartRequest.hpp
RWStepAP203_RWStartWork.pxx,RWStepAP203_RWStartWork.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWStartWork.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP203\RWStepAP203_RWStartWork.hpp
RWStepAP214.pxx,RWStepAP214.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214.hpp
RWStepAP214_GeneralModule.pxx,RWStepAP214_GeneralModule.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_GeneralModule.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_GeneralModule.hpp
RWStepAP214_RWAppliedApprovalAssignment.pxx,RWStepAP214_RWAppliedApprovalAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedApprovalAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedApprovalAssignment.hpp
RWStepAP214_RWAppliedDateAndTimeAssignment.pxx,RWStepAP214_RWAppliedDateAndTimeAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedDateAndTimeAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedDateAndTimeAssignment.hpp
RWStepAP214_RWAppliedDateAssignment.pxx,RWStepAP214_RWAppliedDateAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedDateAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedDateAssignment.hpp
RWStepAP214_RWAppliedDocumentReference.pxx,RWStepAP214_RWAppliedDocumentReference.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedDocumentReference.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedDocumentReference.hpp
RWStepAP214_RWAppliedExternalIdentificationAssignment.pxx,RWStepAP214_RWAppliedExternalIdentificationAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedExternalIdentificationAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedExternalIdentificationAssignment.hpp
RWStepAP214_RWAppliedGroupAssignment.pxx,RWStepAP214_RWAppliedGroupAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedGroupAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedGroupAssignment.hpp
RWStepAP214_RWAppliedOrganizationAssignment.pxx,RWStepAP214_RWAppliedOrganizationAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedOrganizationAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedOrganizationAssignment.hpp
RWStepAP214_RWAppliedPersonAndOrganizationAssignment.pxx,RWStepAP214_RWAppliedPersonAndOrganizationAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedPersonAndOrganizationAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedPersonAndOrganizationAssignment.hpp
RWStepAP214_RWAppliedPresentedItem.pxx,RWStepAP214_RWAppliedPresentedItem.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedPresentedItem.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedPresentedItem.hpp
RWStepAP214_RWAppliedSecurityClassificationAssignment.pxx,RWStepAP214_RWAppliedSecurityClassificationAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedSecurityClassificationAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAppliedSecurityClassificationAssignment.hpp
RWStepAP214_RWAutoDesignActualDateAndTimeAssignment.pxx,RWStepAP214_RWAutoDesignActualDateAndTimeAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignActualDateAndTimeAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignActualDateAndTimeAssignment.hpp
RWStepAP214_RWAutoDesignActualDateAssignment.pxx,RWStepAP214_RWAutoDesignActualDateAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignActualDateAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignActualDateAssignment.hpp
RWStepAP214_RWAutoDesignApprovalAssignment.pxx,RWStepAP214_RWAutoDesignApprovalAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignApprovalAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignApprovalAssignment.hpp
RWStepAP214_RWAutoDesignDateAndPersonAssignment.pxx,RWStepAP214_RWAutoDesignDateAndPersonAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignDateAndPersonAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignDateAndPersonAssignment.hpp
RWStepAP214_RWAutoDesignDocumentReference.pxx,RWStepAP214_RWAutoDesignDocumentReference.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignDocumentReference.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignDocumentReference.hpp
RWStepAP214_RWAutoDesignGroupAssignment.pxx,RWStepAP214_RWAutoDesignGroupAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignGroupAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignGroupAssignment.hpp
RWStepAP214_RWAutoDesignNominalDateAndTimeAssignment.pxx,RWStepAP214_RWAutoDesignNominalDateAndTimeAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignNominalDateAndTimeAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignNominalDateAndTimeAssignment.hpp
RWStepAP214_RWAutoDesignNominalDateAssignment.pxx,RWStepAP214_RWAutoDesignNominalDateAssignment.hpp,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignNominalDateAssignment.pxx,D:\reOCCT8_0_0rc3\src\DataExchange\TKDESTEP\RWStepAP214\RWStepAP214_RWAutoDesignNominalDateAssignment.hpp
